Compositon,Temperature,Hardness,Toughness
WC4Co,1200,1300,10.22
WC4Co,1210,1300,10.25
WC4Co,1230,1305,10.2
WC4Co,1232,1305,10.33
WC4Co,1240,1330,10.35
WC4Co,1250,1345,10.32
WC4Co,1260,1350,10.42
WC4Co,1265,1350,10.5
WC4Co,1275,1352,10.5
WC4Co,1280,1355,10.5
WC4Co,1285,1362,10.5
WC4Co,1290,1360,10.5
WC4Co,1300,1360,10.55
WC4Co,1300,1362,10.55
WC4Co,1315,1380,10.55
WC4Co,1320,1383,10.55
WC4Co,1320,1383,10.6
WC4Co,1330,1380,10.65
WC4Co,1340,1380,10.82
WC4Co,1345,1382,10.82
WC4Co,1350,1380,11.01
WC4Co,1360,1390,11.05
WC4Co,1370,1403,11.05
WC4Co,1375,1400,11.01
WC4Co,1355,1380,11.01
WC4Co,1380,1420,11.12
WC4Co,1385,1422,11.12
WC4Co,1400,1445,11.5
WC4Co,1405,1448,11.5
WC4Co,1410,1445,11.5
WC4Co,1420,1470,11.68
WC4Co,1425,1472,11.676
WC4Co,1430,1485,11.68
WC4Co,1435,1485,11.68
WC4Co,1450,1530,11.8
WC4Co,1450,1540,11.8
WC4Co,1455,1540,11.8
WC4Co,1465,1560,11.82
WC4Co,1475,1580,11.82
WC4Co,1480,1620,12.4
WC4Co,1490,1620,12.41
WC4Co,1500,1648,12.41
WC4Co,1502,1650,12.5
WC4Co,1510,1650,12.48
WC4Co,1515,1680,12.45
WC4Co,1520,1750,12.3
WC4Co,1535,1752,12.5
WC4Co,1540,1770,12.62
WC4Co,1550,1770,12.9
